GEORGE WASHINGTON, FIRST INAUGURAL
GEORGE WASHINGTON, SECOND INAUGURAL
JOHN ADAMS INAUGURAL
THOMAS JEFFERSON FIRST INAUGURAL
THOMAS JEFFERSON SECOND INAUGURAL
JAMES MADISON FIRST INAUGURAL
JAMES MADISON, SECOND INAUGURAL
JAMES MONROE FIRST INAUGURAL
JAMES MONROE, SECOND INAUGURAL
JOHN QUINCY ADAMS, INAUGURAL
ANDREW JACKSON, FIRST INAUGURAL
ANDREW JACKSON, SECOND INAUGURAL
MARTIN VAN BUREN, INAUGURAL
WILLIAM HENRY HARRISON, INAUGURAL
JAMES KNOX POLK, INAUGURAL
ZACHARY TAYLOR, INAUGURAL
FRANKLIN PIERCE, INAUGURAL
JAMES BUCHANAN, INAUGURAL
ABRAHAM LINCOLN, FIRST INAUGURAL
ABRAHAM LINCOLN, SECOND INAUGURAL
ULYSSES S. GRANT, FIRST INAUGURAL
ULYSSES S. GRANT, SECOND INAUGURAL
RUTHERFORD B. HAYES, INAUGURAL
JAMES A. GARFIELD INAUGURAL
GROVER CLEVELAND, FIRST INAUGURAL
BENJAMIN HARRISON, INAUGURAL
GROVER CLEVELAND, SECOND INAUGURAL
WILLIAM MCKINLEY FIRST INAUGURAL
WILLIAM MCKINLEY, SECOND INAUGURAL
THEODORE ROOSEVELT, INAUGURAL
WILLIAM HOWARD TAFT, INAUGURAL
WOODROW WILSON, FIRST INAUGURAL
WOODROW WILSON, SECOND INAUGURAL
WARREN G. HARDING, INAUGURAL
CALVIN COOLIDGE, INAUGURAL
HERBERT HOOVER, INAUGURAL
FRANKLIN D. ROOSEVELT, FIRST INAUGURAL
FRANKLIN D. ROOSEVELT, SECOND INAUGURAL
FRANKLIN D. ROOSEVELT, THIRD INAUGURAL
FRANKLIN D. ROOSEVELT, FOURTH INAUGURAL
HARRY S. TRUMAN, INAUGURAL
DWIGHT D. EISENHOWER, FIRST INAUGURAL
DWIGHT D. EISENHOWER, SECOND INAUGURAL
JOHN F. KENNEDY, INAUGURAL
LYNDON BAINES JOHNSON, INAUGURAL
RICHARD MILHOUS NIXON, FIRST INAUGURAL
RICHARD MILHOUS NIXON, SECOND INAUGURAL
JIMMY CARTER, INAUGURAL
RONALD REAGAN, FIRST INAUGURAL
RONALD REAGAN, SECOND INAUGURAL
GEORGE BUSH, INAUGURAL
WILLIAM JEFFERSON CLINTON, FIRST INAUGURAL
WILLIAM JEFFERSON CLINTON, SECOND INAUGURAL
GEORGE W. BUSH, FIRST INAUGURAL
GEORGE W. BUSH, SECOND INAUGURAL
