id,name,speech
1,GEORGE WASHINGTON,STATE OF THE UNION
1,GEORGE WASHINGTON,STATE OF THE UNION
1,GEORGE WASHINGTON,STATE OF THE UNION
1,GEORGE WASHINGTON,STATE OF THE UNION
1,GEORGE WASHINGTON,STATE OF THE UNION
1,GEORGE WASHINGTON,STATE OF THE UNION
1,GEORGE WASHINGTON,STATE OF THE UNION
1,GEORGE WASHINGTON,STATE OF THE UNION
2,JOHN ADAMS,STATE OF THE UNION
2,JOHN ADAMS,STATE OF THE UNION
2,JOHN ADAMS,STATE OF THE UNION
2,JOHN ADAMS,STATE OF THE UNION
3,THOMAS JEFFERSON,STATE OF THE UNION
3,THOMAS JEFFERSON,STATE OF THE UNION
3,THOMAS JEFFERSON,STATE OF THE UNION
3,THOMAS JEFFERSON,STATE OF THE UNION
3,THOMAS JEFFERSON,STATE OF THE UNION
3,THOMAS JEFFERSON,STATE OF THE UNION
3,THOMAS JEFFERSON,STATE OF THE UNION
3,THOMAS JEFFERSON,STATE OF THE UNION
4,JAMES MADISON,STATE OF THE UNION
4,JAMES MADISON,STATE OF THE UNION
4,JAMES MADISON,STATE OF THE UNION
4,JAMES MADISON,STATE OF THE UNION
4,JAMES MADISON,STATE OF THE UNION
4,JAMES MADISON,STATE OF THE UNION
4,JAMES MADISON,STATE OF THE UNION
4,JAMES MADISON,STATE OF THE UNION
5,JAMES MONROE,STATE OF THE UNION
5,JAMES MONROE,STATE OF THE UNION
5,JAMES MONROE,STATE OF THE UNION
5,JAMES MONROE,STATE OF THE UNION
5,JAMES MONROE,STATE OF THE UNION
5,JAMES MONROE,STATE OF THE UNION
5,JAMES MONROE,STATE OF THE UNION
5,JAMES MONROE,STATE OF THE UNION
6,JOHN QUINCY ADAMS,STATE OF THE UNION
6,JOHN QUINCY ADAMS,STATE OF THE UNION
6,JOHN QUINCY ADAMS,STATE OF THE UNION
6,JOHN QUINCY ADAMS,STATE OF THE UNION
7,ANDREW JACKSON,STATE OF THE UNION
7,ANDREW JACKSON,STATE OF THE UNION
7,ANDREW JACKSON,STATE OF THE UNION
7,ANDREW JACKSON,STATE OF THE UNION
7,ANDREW JACKSON,STATE OF THE UNION
7,ANDREW JACKSON,STATE OF THE UNION
7,ANDREW JACKSON,STATE OF THE UNION
7,ANDREW JACKSON,STATE OF THE UNION
8,MARTIN VAN BUREN,STATE OF THE UNION
8,MARTIN VAN BUREN,STATE OF THE UNION
8,MARTIN VAN BUREN,STATE OF THE UNION
8,MARTIN VAN BUREN,STATE OF THE UNION
10,JOHN TYLER,STATE OF THE UNION
10,JOHN TYLER,STATE OF THE UNION
10,JOHN TYLER,STATE OF THE UNION
10,JOHN TYLER,STATE OF THE UNION
11,JAMES POLK,STATE OF THE UNION
11,JAMES POLK,STATE OF THE UNION
11,JAMES POLK,STATE OF THE UNION
11,JAMES POLK,STATE OF THE UNION
12,ZACHARY TAYLOR,STATE OF THE UNION
13,MILLARD FILLMORE,STATE OF THE UNION
13,MILLARD FILLMORE,STATE OF THE UNION
13,MILLARD FILLMORE,STATE OF THE UNION
14,FRANKLIN PIERCE,STATE OF THE UNION
14,FRANKLIN PIERCE,STATE OF THE UNION
14,FRANKLIN PIERCE,STATE OF THE UNION
14,FRANKLIN PIERCE,STATE OF THE UNION
15,JAMES BUCHANAN,STATE OF THE UNION
15,JAMES BUCHANAN,STATE OF THE UNION
15,JAMES BUCHANAN,STATE OF THE UNION
15,JAMES BUCHANAN,STATE OF THE UNION
16,ABRAHAM LINCOLN,STATE OF THE UNION
16,ABRAHAM LINCOLN,STATE OF THE UNION
16,ABRAHAM LINCOLN,STATE OF THE UNION
16,ABRAHAM LINCOLN,STATE OF THE UNION
17,ANDREW JOHNSON,STATE OF THE UNION
17,ANDREW JOHNSON,STATE OF THE UNION
17,ANDREW JOHNSON,STATE OF THE UNION
17,ANDREW JOHNSON,STATE OF THE UNION
18,ULYSSES S. GRANT,STATE OF THE UNION
18,ULYSSES S. GRANT,STATE OF THE UNION
18,ULYSSES S. GRANT,STATE OF THE UNION
18,ULYSSES S. GRANT,STATE OF THE UNION
